Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Feb_25_1005;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
20.0 10.5 1.0 0.74
15.0 -4.5 -1.0 0.49
5.0 15.5 1.0 0.35
25.0 15.5 1.0 0.36
-20.0 5.5 1.0 0.34
0.0 -14.5 -1.0 0.40
-5.0 -9.5 -1.0 0.56
10.0 0.5 -1.0 0.45
10.0 10.5 1.0 0.54
-25.0 2.5 -1.0 0.42
25.0 2.5 -1.0 0.51
35.0 -14.5 -1.0 0.52
-30.0 -14.5 -1.0 0.44
25.0 10.5 1.0 0.43
10.0 5.5 1.0 0.44
-45.0 -9.5 -1.0 0.61
-20.0 10.5 1.0 0.53
-25.0 15.5 1.0 0.35
30.0 5.5 -1.0 0.43
-5.0 15.5 1.0 0.34
10.0 15.5 1.0 0.38
-25.0 5.5 -1.0 0.31
-30.0 15.5 1.0 0.61
10.0 -9.5 -1.0 0.37
-30.0 2.5 -1.0 0.44
-40.0 2.5 -1.0 0.43
10.0 -14.5 -1.0 0.37
-30.0 -1.5 -1.0 0.45
30.0 -9.5 -1.0 0.36
-35.0 15.5 1.0 0.33
35.0 5.5 -1.0 0.29
40.0 -4.5 -1.0 0.34
-30.0 5.5 -1.0 0.41
0.0 5.5 -1.0 0.55
5.0 5.5 -1.0 0.45
15.0 0.5 -1.0 0.36
-45.0 -9.5 -1.0 0.34
20.0 -9.5 -1.0 0.34
15.0 -9.5 -1.0 0.35
35.0 -4.5 -1.0 0.31
10.0 -1.5 -1.0 0.33
15.0 -4.5 -1.0 0.35
15.0 10.5 -1.0 0.37
-10.0 0.5 -1.0 0.39
30.0 15.5 1.0 0.33
-35.0 -1.5 -1.0 0.42
-45.0 10.5 1.0 0.44
15.0 15.5 1.0 0.33
5.0 -9.5 -1.0 0.52
25.0 -14.5 -1.0 0.35
-25.0 -9.5 -1.0 0.32
10.0 -4.5 -1.0 0.35
25.0 15.5 1.0 0.31
-20.0 0.5 -1.0 0.40
20.0 5.5 -1.0 0.42
20.0 10.5 1.0 0.55
5.0 -4.5 1.0 0.29
-40.0 -14.5 -1.0 0.33
-40.0 5.5 1.0 0.40
10.0 0.5 -1.0 0.33
-20.0 -1.5 -1.0 0.51
-25.0 0.5 -1.0 0.34
-10.0 -4.5 -1.0 0.44
25.0 -9.5 -1.0 0.34
-35.0 0.5 -1.0 0.30
-5.0 -14.5 -1.0 0.41
40.0 -9.5 -1.0 0.32
-45.0 2.5 -1.0 0.60
-35.0 -4.5 -1.0 0.42
-5.0 -4.5 -1.0 0.36
-40.0 15.5 1.0 0.31
25.0 -1.5 -1.0 0.43
20.0 -4.5 -1.0 0.39
10.0 10.5 1.0 0.41
-5.0 0.5 -1.0 0.60
-15.0 10.5 1.0 0.38
-40.0 -1.5 -1.0 0.43
15.0 -14.5 -1.0 0.43
40.0 15.5 1.0 0.38
-20.0 5.5 1.0 0.52
20.0 -1.5 -1.0 0.42
-20.0 -9.5 -1.0 0.48
35.0 15.5 1.0 0.42
30.0 -1.5 -1.0 0.53
35.0 0.5 -1.0 0.47
25.0 5.5 1.0 0.39
-20.0 -4.5 -1.0 0.51
10.0 2.5 1.0 0.47
-45.0 -1.5 1.0 0.62
-30.0 -4.5 -1.0 0.49
-25.0 2.5 1.0 0.39
-35.0 2.5 1.0 0.68
40.0 5.5 1.0 0.46
-10.0 10.5 1.0 0.44
30.0 10.5 1.0 0.46
-25.0 -14.5 -1.0 0.43
5.0 -1.5 -1.0 0.48
-45.0 -14.5 -1.0 0.40
20.0 0.5 -1.0 0.53
0.0 -4.5 -1.0 0.47
-25.0 10.5 1.0 0.44
20.0 -14.5 -1.0 0.42
-5.0 10.5 1.0 0.34
5.0 2.5 -1.0 0.51
35.0 10.5 1.0 0.43
10.0 5.5 1.0 0.39
-25.0 -4.5 -1.0 0.35
-10.0 15.5 1.0 0.41
-25.0 -1.5 -1.0 0.53
-15.0 -9.5 -1.0 0.42
0.0 -14.5 -1.0 0.45
40.0 -1.5 -1.0 0.45
5.0 15.5 1.0 0.35
40.0 0.5 -1.0 0.47
-10.0 -1.5 -1.0 0.51
-15.0 -1.5 -1.0 0.46
15.0 5.5 1.0 0.56
