Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_25_0900;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
30.0 -3.0 -1.0 0.41
40.0 4.0 1.0 0.32
0.0 7.0 1.0 0.26
15.0 -1.0 -1.0 0.38
35.0 7.0 1.0 0.43
5.0 1.0 1.0 0.24
-15.0 4.0 1.0 0.33
-45.0 -9.0 -1.0 0.29
-35.0 1.0 1.0 0.44
-10.0 -3.0 1.0 0.40
-30.0 -13.0 -1.0 0.42
-35.0 -9.0 -1.0 0.39
-25.0 7.0 1.0 0.24
-15.0 -3.0 -1.0 0.29
-40.0 7.0 1.0 0.49
-20.0 -13.0 -1.0 0.33
25.0 -1.0 1.0 0.40
30.0 7.0 1.0 0.39
0.0 4.0 1.0 0.31
-35.0 11.0 1.0 0.32
35.0 -9.0 -1.0 0.31
10.0 -13.0 -1.0 0.30
-10.0 7.0 1.0 0.31
35.0 -13.0 -1.0 0.30
-30.0 -1.0 1.0 0.40
-25.0 1.0 1.0 0.43
-15.0 -6.0 -1.0 0.48
5.0 -6.0 -1.0 0.34
-25.0 -13.0 -1.0 0.33
30.0 11.0 1.0 0.36
35.0 -3.0 -1.0 0.30
40.0 -3.0 -1.0 0.30
-35.0 -3.0 -1.0 0.42
20.0 4.0 1.0 0.70
-45.0 7.0 1.0 0.35
0.0 -13.0 -1.0 0.32
15.0 1.0 -1.0 0.37
-20.0 11.0 1.0 0.28
-25.0 -9.0 -1.0 0.34
-30.0 4.0 1.0 0.45
25.0 -3.0 -1.0 0.33
20.0 7.0 1.0 0.37
-45.0 -6.0 -1.0 0.33
-15.0 1.0 -1.0 0.43
-35.0 -6.0 -1.0 0.32
-20.0 4.0 1.0 0.29
-15.0 -1.0 -1.0 0.49
20.0 -3.0 -1.0 0.30
-45.0 -1.0 -1.0 0.39
-40.0 -13.0 -1.0 0.36
-15.0 -13.0 -1.0 0.49
35.0 -6.0 -1.0 0.34
-30.0 1.0 1.0 0.43
-30.0 11.0 1.0 0.34
30.0 -6.0 -1.0 0.32
-25.0 11.0 1.0 0.29
25.0 -9.0 -1.0 0.29
-40.0 -3.0 -1.0 0.42
-5.0 7.0 1.0 0.39
5.0 -3.0 -1.0 0.34
15.0 7.0 1.0 0.76
-15.0 -9.0 -1.0 0.32
-15.0 11.0 1.0 0.30
0.0 1.0 -1.0 0.43
10.0 1.0 -1.0 0.37
-45.0 -13.0 -1.0 0.38
-45.0 1.0 -1.0 0.48
-35.0 4.0 1.0 0.59
10.0 11.0 1.0 0.39
-20.0 7.0 1.0 0.37
20.0 -9.0 -1.0 0.34
-20.0 -3.0 -1.0 0.47
-20.0 -1.0 -1.0 0.31
25.0 4.0 1.0 0.31
-45.0 11.0 1.0 0.35
-40.0 -1.0 1.0 0.57
10.0 -9.0 -1.0 0.35
-5.0 11.0 1.0 0.28
15.0 -3.0 -1.0 0.35
40.0 11.0 1.0 0.28
30.0 -9.0 -1.0 0.35
-35.0 -1.0 1.0 0.42
-40.0 -6.0 -1.0 0.40
-25.0 -1.0 -1.0 0.48
-35.0 -13.0 -1.0 0.37
5.0 11.0 1.0 0.39
-25.0 -6.0 -1.0 0.32
5.0 7.0 1.0 0.23
20.0 -6.0 -1.0 0.31
40.0 1.0 1.0 0.45
-45.0 -3.0 -1.0 0.36
-35.0 7.0 1.0 0.34
-40.0 1.0 -1.0 0.53
-10.0 -1.0 1.0 0.44
0.0 11.0 1.0 0.27
-5.0 4.0 1.0 0.26
-20.0 1.0 1.0 0.37
-5.0 -3.0 -1.0 0.42
-10.0 4.0 1.0 0.38
-15.0 7.0 1.0 0.30
20.0 -13.0 -1.0 0.30
25.0 -13.0 -1.0 0.33
40.0 -9.0 -1.0 0.37
-10.0 -9.0 -1.0 0.40
-5.0 -9.0 -1.0 0.38
10.0 7.0 -1.0 0.37
10.0 -3.0 -1.0 0.44
0.0 -3.0 1.0 0.45
0.0 -1.0 1.0 0.46
10.0 4.0 1.0 0.36
30.0 4.0 1.0 0.36
-25.0 4.0 1.0 0.30
25.0 -6.0 -1.0 0.43
-10.0 -6.0 -1.0 0.46
-30.0 7.0 1.0 0.42
35.0 11.0 1.0 0.39
-10.0 1.0 1.0 0.31
15.0 -9.0 -1.0 0.32
30.0 1.0 1.0 0.32
40.0 -13.0 -1.0 0.38
15.0 11.0 1.0 0.33
-30.0 -9.0 -1.0 0.42
-40.0 4.0 1.0 0.41
-40.0 -9.0 -1.0 0.40
10.0 -1.0 1.0 0.44
15.0 -6.0 -1.0 0.33
20.0 -1.0 -1.0 0.45
-10.0 11.0 1.0 0.26
15.0 4.0 1.0 0.32
-5.0 -6.0 -1.0 0.45
5.0 -13.0 -1.0 0.39
