Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-25.0 -7.0 -1.0 0.79
-25.0 0.0 1.0 0.58
-20.0 -17.0 -1.0 1.23
-5.0 3.0 1.0 0.81
-30.0 -7.0 -1.0 0.95
5.0 -13.0 -1.0 0.55
-25.0 3.0 1.0 0.68
-25.0 -13.0 -1.0 0.76
-15.0 0.0 1.0 0.78
30.0 -5.0 1.0 1.13
-40.0 -13.0 -1.0 0.63
35.0 7.0 1.0 0.65
0.0 -17.0 -1.0 0.70
15.0 -3.0 1.0 1.10
20.0 0.0 1.0 0.63
5.0 7.0 1.0 0.57
40.0 -3.0 1.0 0.76
-25.0 -5.0 1.0 0.64
-35.0 -17.0 -1.0 0.66
-5.0 -3.0 1.0 1.08
10.0 7.0 1.0 0.60
-5.0 -13.0 -1.0 0.77
20.0 -3.0 -1.0 0.87
25.0 -13.0 -1.0 0.65
5.0 -10.0 -1.0 0.76
20.0 -5.0 -1.0 0.49
-45.0 0.0 1.0 0.82
-40.0 -7.0 -1.0 0.72
-30.0 7.0 1.0 0.65
-45.0 -3.0 1.0 1.23
-35.0 0.0 1.0 0.74
0.0 0.0 1.0 1.08
-10.0 -10.0 -1.0 0.75
40.0 0.0 1.0 0.70
35.0 -3.0 1.0 0.65
-5.0 -17.0 -1.0 0.65
0.0 -7.0 -1.0 0.50
40.0 -17.0 -1.0 0.48
25.0 -10.0 -1.0 0.35
-20.0 -7.0 1.0 0.64
-15.0 3.0 1.0 0.49
15.0 -7.0 -1.0 0.60
-40.0 -10.0 -1.0 0.43
40.0 -13.0 -1.0 0.38
25.0 -17.0 -1.0 0.62
-30.0 -17.0 -1.0 0.59
10.0 -7.0 -1.0 0.98
-35.0 -13.0 -1.0 0.50
-10.0 0.0 1.0 0.90
-5.0 7.0 1.0 0.46
25.0 7.0 1.0 0.52
-10.0 -3.0 1.0 1.06
-5.0 -7.0 -1.0 0.86
35.0 -17.0 -1.0 0.47
-20.0 -13.0 -1.0 0.59
-45.0 -17.0 -1.0 0.51
35.0 -13.0 -1.0 0.76
15.0 -10.0 -1.0 0.90
0.0 3.0 1.0 0.72
35.0 3.0 1.0 0.63
-15.0 -13.0 -1.0 0.79
-45.0 -5.0 1.0 0.79
15.0 -13.0 -1.0 0.79
40.0 -7.0 -1.0 0.96
-15.0 -7.0 1.0 0.82
35.0 -7.0 -1.0 0.80
40.0 -10.0 -1.0 0.53
-25.0 -17.0 -1.0 0.48
-40.0 -3.0 1.0 0.70
-15.0 -5.0 1.0 0.52
15.0 7.0 1.0 0.55
-35.0 -10.0 -1.0 0.70
-20.0 -5.0 1.0 0.60
5.0 -17.0 -1.0 0.61
-40.0 0.0 1.0 0.61
0.0 -3.0 1.0 0.60
-35.0 3.0 1.0 0.60
-10.0 -5.0 1.0 0.94
-30.0 -3.0 1.0 0.74
5.0 3.0 1.0 0.62
30.0 0.0 1.0 0.67
5.0 -5.0 -1.0 0.86
-30.0 3.0 1.0 0.66
-10.0 7.0 1.0 0.49
25.0 3.0 1.0 0.44
-35.0 -3.0 1.0 0.40
25.0 -3.0 1.0 0.56
20.0 7.0 1.0 0.49
10.0 3.0 1.0 0.55
-20.0 0.0 1.0 0.59
20.0 -10.0 -1.0 0.64
-45.0 7.0 1.0 0.60
15.0 3.0 1.0 0.85
-25.0 -10.0 -1.0 0.96
-15.0 -10.0 -1.0 0.65
35.0 -5.0 -1.0 0.88
-30.0 -10.0 -1.0 0.88
-35.0 -5.0 -1.0 0.82
35.0 0.0 1.0 0.90
30.0 3.0 1.0 0.50
-5.0 0.0 1.0 0.67
10.0 -5.0 1.0 0.40
-25.0 -10.0 1.0 1.07
-20.0 0.0 1.0 0.50
10.0 -10.0 -1.0 0.59
-5.0 -3.0 1.0 0.52
-35.0 -10.0 -1.0 0.60
30.0 0.0 1.0 0.60
35.0 0.0 1.0 0.75
-25.0 7.0 1.0 0.50
-25.0 -17.0 -1.0 0.68
-10.0 -5.0 1.0 0.71
-35.0 -3.0 1.0 0.72
35.0 -17.0 -1.0 0.59
5.0 -13.0 -1.0 0.45
40.0 -13.0 -1.0 0.44
-40.0 -10.0 -1.0 0.57
35.0 3.0 1.0 0.62
-15.0 -5.0 1.0 0.86
20.0 -7.0 -1.0 0.66
15.0 -5.0 -1.0 0.85
-30.0 -13.0 -1.0 0.53
