Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = tilt30;
location = v;
expDate = 2016_Apr_13_1443;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
25.0 -6.0 -1.0 0.61
10.0 -6.0 -1.0 0.32
-40.0 -4.0 -1.0 1.38
30.0 4.0 1.0 0.66
-10.0 -16.0 -1.0 0.56
5.0 -21.0 -1.0 0.52
5.0 4.0 1.0 0.89
-15.0 -16.0 -1.0 0.69
-20.0 4.0 1.0 0.59
-10.0 -21.0 -1.0 0.58
-35.0 9.0 1.0 0.62
15.0 -11.0 -1.0 0.68
-30.0 -1.0 1.0 0.68
-30.0 -16.0 -1.0 1.67
-30.0 -6.0 1.0 0.69
20.0 -4.0 -1.0 0.51
20.0 -21.0 -1.0 0.44
0.0 -1.0 1.0 0.57
-25.0 -16.0 -1.0 0.54
30.0 -21.0 -1.0 0.73
-40.0 -16.0 -1.0 0.49
35.0 -11.0 1.0 0.62
35.0 -4.0 1.0 0.33
-10.0 9.0 1.0 0.29
40.0 4.0 1.0 0.38
-40.0 4.0 1.0 0.60
-45.0 -16.0 -1.0 0.65
25.0 -4.0 1.0 0.68
5.0 -6.0 1.0 0.49
-10.0 -8.0 1.0 0.41
35.0 -21.0 -1.0 0.55
-20.0 -16.0 -1.0 0.45
25.0 -8.0 -1.0 0.94
-45.0 -4.0 -1.0 0.52
-20.0 -21.0 -1.0 0.62
-40.0 -1.0 1.0 0.71
5.0 -16.0 -1.0 0.81
-5.0 -8.0 1.0 1.96
-40.0 -21.0 -1.0 1.32
-25.0 -6.0 1.0 0.76
5.0 9.0 1.0 0.51
-45.0 -6.0 1.0 1.19
-40.0 9.0 1.0 0.40
-45.0 -1.0 1.0 0.66
-25.0 -4.0 1.0 0.63
30.0 -4.0 1.0 0.50
-5.0 4.0 1.0 0.36
15.0 -8.0 1.0 0.40
10.0 -16.0 -1.0 0.92
35.0 4.0 1.0 0.63
-5.0 9.0 1.0 0.52
40.0 -6.0 -1.0 1.46
-35.0 -1.0 1.0 0.68
35.0 -6.0 1.0 0.54
-15.0 -4.0 1.0 0.38
0.0 -11.0 -1.0 0.92
15.0 -6.0 -1.0 0.52
-35.0 -8.0 -1.0 0.96
35.0 -1.0 1.0 0.82
-5.0 -21.0 -1.0 0.60
-45.0 -8.0 -1.0 0.78
-10.0 4.0 1.0 0.63
-10.0 -4.0 1.0 1.00
5.0 -4.0 1.0 1.23
-5.0 -1.0 1.0 0.49
35.0 -8.0 1.0 0.61
-15.0 -1.0 1.0 0.51
-45.0 4.0 1.0 0.56
20.0 9.0 1.0 0.57
20.0 -8.0 1.0 0.86
-5.0 -4.0 1.0 0.62
-30.0 4.0 1.0 0.53
0.0 -21.0 -1.0 0.90
-15.0 -6.0 -1.0 0.70
20.0 -6.0 -1.0 0.56
-10.0 -11.0 -1.0 0.69
-30.0 -11.0 -1.0 0.86
-10.0 -6.0 -1.0 0.81
35.0 9.0 1.0 0.91
-25.0 4.0 1.0 0.51
-10.0 -1.0 1.0 0.49
30.0 -6.0 -1.0 1.00
0.0 -4.0 -1.0 0.48
30.0 -16.0 -1.0 0.49
-10.0 -1.0 1.0 0.72
-40.0 9.0 1.0 0.46
25.0 -21.0 -1.0 0.44
-5.0 -21.0 -1.0 0.39
15.0 -16.0 -1.0 0.46
-20.0 -21.0 -1.0 0.44
-5.0 -8.0 -1.0 0.67
-10.0 -8.0 -1.0 0.41
35.0 4.0 1.0 0.73
-45.0 -4.0 -1.0 0.63
-30.0 -4.0 -1.0 0.46
-20.0 4.0 1.0 0.95
20.0 -21.0 -1.0 0.58
5.0 -6.0 -1.0 0.67
40.0 -8.0 -1.0 0.43
-25.0 -8.0 -1.0 0.58
20.0 4.0 -1.0 0.51
15.0 9.0 1.0 0.75
5.0 9.0 1.0 0.42
-20.0 -16.0 -1.0 0.58
30.0 4.0 1.0 1.50
25.0 -4.0 -1.0 1.50
-5.0 -16.0 -1.0 0.53
35.0 -16.0 -1.0 0.59
40.0 -16.0 -1.0 0.44
0.0 -8.0 -1.0 0.63
15.0 -21.0 -1.0 0.48
25.0 -11.0 -1.0 0.69
15.0 4.0 -1.0 0.83
10.0 -8.0 -1.0 0.56
30.0 -4.0 -1.0 0.72
25.0 -6.0 -1.0 0.49
-15.0 -11.0 -1.0 0.51
30.0 -21.0 -1.0 0.58
-5.0 -1.0 1.0 0.93
-20.0 -11.0 1.0 0.59
-40.0 -6.0 1.0 1.02
-25.0 -4.0 1.0 0.66
5.0 -8.0 -1.0 0.72
20.0 -4.0 -1.0 0.52
-15.0 4.0 1.0 0.64
-45.0 -6.0 1.0 0.56
20.0 -16.0 -1.0 0.90
-25.0 -6.0 -1.0 1.44
-10.0 -4.0 1.0 0.71
25.0 4.0 1.0 0.39
-30.0 -6.0 1.0 0.80
10.0 -1.0 1.0 0.55
25.0 -16.0 -1.0 0.87
-10.0 -11.0 -1.0 0.35
5.0 4.0 1.0 0.79
-25.0 4.0 1.0 0.52
-25.0 -21.0 -1.0 0.77
-40.0 -21.0 -1.0 1.04
-15.0 -6.0 1.0 0.59
-35.0 -8.0 1.0 0.53
10.0 4.0 1.0 0.74
-40.0 -4.0 1.0 0.68
-10.0 9.0 1.0 0.46
40.0 -1.0 1.0 0.65
-15.0 -16.0 -1.0 0.71
-5.0 -6.0 1.0 1.36
5.0 -4.0 -1.0 0.67
40.0 -4.0 -1.0 0.74
-45.0 -16.0 -1.0 0.51
-30.0 -16.0 -1.0 0.57
5.0 -21.0 -1.0 0.84
10.0 9.0 1.0 0.70
-10.0 4.0 1.0 0.39
35.0 -8.0 -1.0 0.54
-30.0 -1.0 1.0 0.75
-20.0 9.0 1.0 0.49
-5.0 -11.0 -1.0 0.97
-15.0 -1.0 1.0 0.57
-40.0 4.0 1.0 0.50
40.0 -21.0 -1.0 0.55
-25.0 -11.0 -1.0 0.48
5.0 -11.0 -1.0 0.60
20.0 -1.0 1.0 0.65
-25.0 -1.0 1.0 0.54
-20.0 -4.0 1.0 0.51
-45.0 -11.0 -1.0 0.69
20.0 9.0 1.0 0.61
15.0 -4.0 -1.0 0.65
25.0 9.0 1.0 0.77
-35.0 -4.0 -1.0 0.62
20.0 -11.0 -1.0 0.48
0.0 -21.0 -1.0 0.46
-45.0 4.0 1.0 0.59
35.0 -21.0 -1.0 0.59
10.0 -21.0 -1.0 0.62
-20.0 -6.0 1.0 0.64
-5.0 -4.0 1.0 0.65
0.0 9.0 1.0 0.56
35.0 -4.0 -1.0 0.69
