Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 11;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Mar_04_1441;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-30.0 0.5 1.0 0.46
35.0 -6.5 -1.0 0.48
-20.0 5.5 1.0 0.55
15.0 -9.5 -1.0 0.46
-35.0 -6.5 -1.0 0.51
35.0 0.5 1.0 0.73
-15.0 -19.5 -1.0 0.42
15.0 10.5 1.0 0.42
20.0 -9.5 -1.0 0.59
40.0 -4.5 1.0 0.34
5.0 -6.5 -1.0 0.71
5.0 10.5 1.0 0.47
-45.0 10.5 1.0 0.64
-15.0 -2.5 1.0 0.47
0.0 -9.5 -1.0 0.62
-35.0 -19.5 -1.0 0.53
35.0 10.5 1.0 0.50
5.0 -9.5 -1.0 0.53
-45.0 -4.5 -1.0 0.47
40.0 -14.5 -1.0 0.64
-20.0 -9.5 -1.0 0.64
-45.0 -2.5 -1.0 1.27
-35.0 -14.5 -1.0 0.68
30.0 -4.5 -1.0 1.09
25.0 10.5 1.0 0.53
-25.0 -2.5 1.0 1.09
-40.0 -14.5 -1.0 0.68
20.0 -19.5 -1.0 0.36
30.0 -2.5 -1.0 0.90
-45.0 0.5 1.0 0.74
-5.0 -4.5 1.0 1.92
5.0 -4.5 -1.0 0.91
25.0 0.5 -1.0 1.01
15.0 -14.5 -1.0 2.49
0.0 -14.5 -1.0 0.53
40.0 -6.5 -1.0 0.41
-15.0 -4.5 -1.0 1.87
-20.0 0.5 1.0 0.67
-10.0 10.5 1.0 0.47
-25.0 0.5 1.0 0.54
20.0 -2.5 1.0 0.51
10.0 -14.5 -1.0 0.52
-10.0 -9.5 -1.0 0.62
-5.0 -19.5 -1.0 0.42
-25.0 5.5 1.0 0.45
-5.0 10.5 1.0 0.35
-45.0 -14.5 -1.0 0.42
0.0 5.5 1.0 0.42
15.0 -6.5 -1.0 0.61
30.0 -19.5 -1.0 0.41
-30.0 -6.5 -1.0 0.54
15.0 -4.5 -1.0 0.39
-30.0 5.5 1.0 1.88
-10.0 -19.5 -1.0 0.51
-40.0 -19.5 -1.0 0.61
-40.0 0.5 1.0 0.76
-30.0 -19.5 -1.0 0.76
40.0 0.5 1.0 1.48
10.0 -19.5 -1.0 0.44
0.0 -19.5 -1.0 0.31
-35.0 5.5 1.0 0.54
-25.0 -9.5 -1.0 0.47
35.0 -9.5 -1.0 0.59
15.0 5.5 1.0 1.32
0.0 0.5 1.0 0.60
40.0 -2.5 -1.0 1.41
20.0 10.5 1.0 0.68
-40.0 5.5 1.0 0.51
-25.0 10.5 1.0 0.44
10.0 -4.5 -1.0 0.44
-35.0 -9.5 -1.0 0.42
10.0 -9.5 -1.0 0.49
25.0 -4.5 -1.0 0.42
-25.0 -4.5 -1.0 1.33
15.0 -9.5 -1.0 0.59
-10.0 -4.5 -1.0 0.61
20.0 -4.5 -1.0 0.45
25.0 0.5 -1.0 0.38
5.0 -6.5 -1.0 0.37
20.0 0.5 -1.0 0.38
-10.0 0.5 1.0 0.93
20.0 -14.5 -1.0 0.48
10.0 -9.5 -1.0 0.41
-10.0 -19.5 -1.0 0.34
-30.0 -14.5 -1.0 0.39
-35.0 -19.5 -1.0 0.33
35.0 0.5 -1.0 0.34
-40.0 0.5 1.0 0.48
15.0 -2.5 -1.0 0.49
-45.0 0.5 1.0 1.13
-30.0 -4.5 1.0 0.71
5.0 -2.5 -1.0 0.60
25.0 -19.5 -1.0 0.42
40.0 -14.5 -1.0 0.48
-10.0 -2.5 1.0 0.77
-35.0 -2.5 1.0 0.40
40.0 -4.5 1.0 0.66
10.0 0.5 1.0 1.48
-40.0 -19.5 -1.0 0.45
-5.0 -19.5 -1.0 0.38
-10.0 5.5 1.0 0.42
20.0 -6.5 -1.0 0.48
5.0 -19.5 -1.0 0.40
20.0 10.5 1.0 0.57
35.0 -19.5 -1.0 0.49
30.0 -6.5 -1.0 0.41
15.0 -19.5 -1.0 0.41
-20.0 -9.5 -1.0 0.78
-30.0 -19.5 -1.0 0.42
-30.0 5.5 1.0 0.49
-15.0 0.5 1.0 0.62
-20.0 -19.5 -1.0 0.43
-25.0 10.5 1.0 0.52
0.0 -6.5 -1.0 0.49
-10.0 -9.5 -1.0 0.49
-5.0 -14.5 -1.0 0.33
-35.0 10.5 1.0 0.41
30.0 -14.5 -1.0 0.49
-25.0 -2.5 -1.0 0.96
-45.0 -19.5 -1.0 0.57
15.0 -6.5 -1.0 0.49
30.0 -4.5 -1.0 0.47
-5.0 -4.5 1.0 1.08
-5.0 5.5 1.0 0.51
10.0 -2.5 -1.0 0.53
20.0 5.5 -1.0 1.29
30.0 10.5 1.0 0.59
-10.0 10.5 1.0 0.41
-35.0 -9.5 -1.0 0.48
-20.0 -4.5 1.0 1.47
-35.0 0.5 1.0 0.70
35.0 -14.5 -1.0 0.50
15.0 5.5 1.0 0.78
-5.0 10.5 1.0 0.40
0.0 0.5 1.0 1.12
25.0 -6.5 -1.0 0.71
-35.0 -14.5 -1.0 0.51
-20.0 0.5 -1.0 1.81
0.0 -9.5 -1.0 0.49
5.0 -9.5 -1.0 0.41
-20.0 5.5 1.0 0.54
-15.0 -4.5 1.0 0.39
30.0 0.5 1.0 0.34
-10.0 -6.5 1.0 0.67
-25.0 -4.5 1.0 0.57
-45.0 -2.5 1.0 0.41
5.0 0.5 1.0 0.47
-10.0 -14.5 -1.0 0.51
-20.0 10.5 1.0 0.53
10.0 -4.5 -1.0 0.49
-25.0 5.5 1.0 0.50
-30.0 -2.5 -1.0 0.53
10.0 -14.5 -1.0 0.49
-35.0 -4.5 -1.0 0.47
30.0 -2.5 -1.0 0.38
-15.0 -19.5 -1.0 0.47
-40.0 5.5 1.0 0.71
-15.0 10.5 1.0 0.38
25.0 -9.5 -1.0 0.47
-25.0 -19.5 -1.0 0.54
35.0 5.5 1.0 0.44
15.0 -14.5 -1.0 0.42
-15.0 -2.5 1.0 0.81
-20.0 -2.5 1.0 0.43
25.0 -14.5 -1.0 0.46
-30.0 -9.5 -1.0 0.45
0.0 -14.5 -1.0 0.42
0.0 -2.5 -1.0 0.56
0.0 -19.5 -1.0 0.39
0.0 10.5 1.0 0.39
10.0 5.5 1.0 0.80
30.0 -9.5 -1.0 0.45
5.0 -14.5 -1.0 0.40
40.0 -6.5 -1.0 0.35
35.0 -2.5 -1.0 0.60
-40.0 -9.5 -1.0 0.41
35.0 -6.5 -1.0 0.37
-45.0 5.5 1.0 0.50
20.0 -19.5 -1.0 0.51
-15.0 -14.5 -1.0 0.45
-20.0 -6.5 1.0 0.52
5.0 5.5 1.0 0.41
40.0 -2.5 1.0 0.53
35.0 -4.5 1.0 0.47
40.0 10.5 1.0 0.34
35.0 -9.5 -1.0 0.48
25.0 -4.5 -1.0 0.41
40.0 0.5 1.0 1.95
40.0 -9.5 -1.0 0.69
-5.0 -2.5 -1.0 0.75
-30.0 10.5 1.0 0.60
15.0 -4.5 -1.0 0.58
-40.0 10.5 1.0 0.53
5.0 10.5 1.0 0.39
-35.0 5.5 1.0 0.31
10.0 -6.5 -1.0 0.45
30.0 -19.5 -1.0 0.37
5.0 -4.5 -1.0 0.59
-40.0 -14.5 -1.0 0.41
10.0 -19.5 -1.0 0.38
-45.0 -9.5 -1.0 0.34
40.0 5.5 1.0 0.50
-25.0 -14.5 -1.0 0.53
-40.0 -4.5 -1.0 0.54
-25.0 -6.5 -1.0 0.43
-20.0 -14.5 -1.0 0.52
25.0 -2.5 -1.0 0.40
20.0 -9.5 -1.0 0.44
0.0 -4.5 -1.0 0.45
-5.0 -9.5 -1.0 0.42
15.0 10.5 1.0 0.54
-25.0 0.5 1.0 0.56
-40.0 -2.5 1.0 0.46
25.0 5.5 1.0 0.50
35.0 10.5 1.0 0.53
-15.0 -6.5 1.0 0.67
-15.0 -9.5 1.0 0.64
10.0 10.5 1.0 0.42
-30.0 0.5 1.0 0.40
25.0 10.5 1.0 0.38
-30.0 -6.5 1.0 0.37
-45.0 10.5 1.0 0.35
-25.0 -9.5 1.0 0.52
-35.0 -6.5 1.0 0.59
-15.0 5.5 1.0 0.35
-45.0 -14.5 -1.0 0.57
15.0 0.5 1.0 1.25
0.0 5.5 1.0 0.51
-5.0 0.5 1.0 0.42
40.0 -19.5 -1.0 0.45
20.0 -2.5 -1.0 0.51
-45.0 -6.5 -1.0 0.47
-40.0 -6.5 -1.0 0.38
-45.0 -4.5 -1.0 0.37
30.0 5.5 -1.0 1.39
-5.0 -6.5 -1.0 0.44
20.0 -9.5 -1.0 0.42
15.0 5.5 -1.0 0.68
25.0 -9.5 -1.0 0.45
-10.0 -2.5 1.0 1.21
-25.0 5.5 1.0 0.46
-40.0 -4.5 1.0 0.71
30.0 0.5 1.0 0.50
-5.0 -2.5 1.0 0.55
10.0 -4.5 1.0 0.61
-25.0 10.5 1.0 0.39
20.0 5.5 1.0 0.33
0.0 -19.5 -1.0 0.45
5.0 -14.5 -1.0 0.39
-35.0 5.5 1.0 0.58
-5.0 -6.5 1.0 0.72
-30.0 -4.5 -1.0 1.69
-45.0 5.5 1.0 0.71
-5.0 0.5 1.0 1.34
30.0 10.5 1.0 0.52
25.0 5.5 1.0 0.52
-35.0 -9.5 -1.0 1.21
-20.0 -6.5 -1.0 0.51
-10.0 0.5 -1.0 0.62
30.0 -6.5 -1.0 0.42
35.0 0.5 -1.0 0.40
-40.0 -14.5 -1.0 0.39
-25.0 -9.5 -1.0 0.32
-15.0 -9.5 -1.0 0.35
40.0 -9.5 -1.0 0.34
-15.0 -14.5 -1.0 0.35
-35.0 -19.5 -1.0 0.47
-30.0 -2.5 -1.0 0.66
0.0 -6.5 -1.0 0.44
-40.0 -9.5 -1.0 0.40
5.0 0.5 -1.0 0.58
-40.0 0.5 1.0 0.97
-30.0 0.5 1.0 0.62
-45.0 10.5 1.0 0.52
-30.0 -14.5 -1.0 0.54
35.0 10.5 1.0 0.52
20.0 -2.5 -1.0 0.89
0.0 -14.5 -1.0 0.44
-25.0 0.5 -1.0 0.74
0.0 -4.5 -1.0 0.46
-25.0 -19.5 -1.0 0.44
35.0 -4.5 -1.0 0.55
-10.0 10.5 1.0 0.42
30.0 -9.5 -1.0 0.46
0.0 -2.5 -1.0 0.45
-5.0 -9.5 -1.0 0.51
-45.0 -4.5 -1.0 0.46
-25.0 -6.5 -1.0 0.45
-10.0 -9.5 -1.0 0.44
5.0 -2.5 -1.0 0.44
25.0 10.5 -1.0 0.90
-15.0 -6.5 -1.0 0.44
-40.0 5.5 1.0 0.63
20.0 -4.5 -1.0 0.57
20.0 -14.5 -1.0 0.52
-20.0 -9.5 -1.0 0.49
-5.0 10.5 1.0 0.47
40.0 -19.5 -1.0 0.46
-30.0 -6.5 -1.0 0.46
25.0 -19.5 -1.0 0.48
20.0 0.5 -1.0 0.73
35.0 -6.5 -1.0 0.60
-25.0 -2.5 -1.0 0.45
-30.0 -9.5 -1.0 0.44
-15.0 -19.5 -1.0 0.43
15.0 -2.5 -1.0 0.56
-45.0 -9.5 -1.0 0.42
-25.0 -14.5 -1.0 0.46
20.0 -6.5 -1.0 0.58
20.0 10.5 -1.0 0.82
40.0 -4.5 -1.0 0.74
-15.0 10.5 1.0 0.52
5.0 -4.5 -1.0 0.62
-5.0 5.5 1.0 0.73
-40.0 -6.5 -1.0 0.70
30.0 -14.5 -1.0 0.50
-45.0 0.5 -1.0 1.19
-5.0 -19.5 -1.0 0.52
15.0 10.5 1.0 0.72
15.0 -9.5 -1.0 0.61
10.0 5.5 1.0 0.85
-10.0 -14.5 -1.0 0.52
10.0 10.5 1.0 0.44
10.0 0.5 -1.0 0.56
-20.0 -19.5 -1.0 0.52
35.0 -19.5 -1.0 0.42
35.0 -14.5 -1.0 0.44
30.0 -19.5 -1.0 0.50
-10.0 5.5 1.0 0.40
25.0 -2.5 -1.0 0.45
35.0 -9.5 -1.0 0.40
40.0 0.5 1.0 0.70
40.0 10.5 1.0 0.48
-15.0 0.5 1.0 0.44
30.0 -4.5 1.0 0.60
-35.0 -14.5 -1.0 0.57
25.0 -4.5 1.0 1.39
-40.0 10.5 1.0 0.47
15.0 -6.5 1.0 0.61
5.0 5.5 1.0 0.45
10.0 -6.5 1.0 0.63
10.0 -2.5 1.0 0.58
-45.0 -19.5 -1.0 0.52
5.0 10.5 1.0 0.46
-20.0 -4.5 -1.0 0.65
5.0 -9.5 -1.0 0.47
-10.0 -19.5 -1.0 0.57
30.0 -2.5 1.0 1.60
20.0 -19.5 -1.0 0.51
-20.0 5.5 1.0 0.54
35.0 5.5 1.0 0.49
40.0 -2.5 1.0 0.57
-40.0 -2.5 1.0 0.57
-5.0 -4.5 -1.0 2.11
0.0 -9.5 -1.0 0.72
-20.0 -14.5 -1.0 0.44
-35.0 -6.5 -1.0 1.20
-20.0 -2.5 -1.0 2.13
5.0 -19.5 -1.0 0.43
40.0 -6.5 -1.0 0.45
-45.0 -2.5 1.0 1.47
15.0 -19.5 -1.0 0.62
-20.0 10.5 1.0 0.49
-30.0 -19.5 -1.0 0.61
10.0 -9.5 -1.0 0.45
35.0 -2.5 -1.0 0.44
-35.0 -2.5 -1.0 0.42
10.0 -19.5 -1.0 0.46
40.0 5.5 1.0 0.50
25.0 -6.5 1.0 0.64
15.0 -14.5 -1.0 0.47
0.0 0.5 1.0 0.67
-5.0 -14.5 -1.0 0.46
-10.0 -6.5 1.0 1.49
-45.0 -14.5 -1.0 0.70
25.0 -14.5 -1.0 0.43
-30.0 5.5 1.0 0.55
-15.0 -4.5 1.0 0.69
0.0 10.5 1.0 0.42
-35.0 0.5 1.0 0.72
5.0 -6.5 -1.0 0.54
30.0 5.5 -1.0 1.49
25.0 0.5 -1.0 0.63
-15.0 -2.5 1.0 0.54
-30.0 10.5 1.0 0.30
-15.0 5.5 1.0 0.33
15.0 0.5 1.0 2.02
10.0 -14.5 -1.0 0.53
0.0 5.5 1.0 0.50
40.0 -14.5 -1.0 1.39
-10.0 -4.5 1.0 0.54
