Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
-5.0 -12.0 -1.0 0.74
5.0 -2.0 -1.0 0.51
25.0 -8.0 -1.0 0.53
20.0 -8.0 -1.0 0.50
15.0 12.0 1.0 0.94
-10.0 0.0 1.0 0.58
25.0 5.0 1.0 0.95
30.0 8.0 1.0 0.65
-40.0 -5.0 -1.0 0.66
15.0 -5.0 -1.0 0.49
30.0 12.0 1.0 0.55
-25.0 2.0 1.0 0.63
-5.0 0.0 1.0 0.61
-5.0 -8.0 -1.0 0.61
-20.0 0.0 1.0 0.69
25.0 -2.0 -1.0 0.75
-45.0 -12.0 -1.0 0.52
0.0 5.0 1.0 0.48
5.0 2.0 -1.0 0.76
-35.0 -5.0 -1.0 0.70
-40.0 12.0 1.0 0.53
-15.0 -5.0 1.0 0.52
-35.0 0.0 1.0 0.64
-25.0 12.0 1.0 0.51
-15.0 -12.0 -1.0 0.72
40.0 -5.0 -1.0 1.27
40.0 5.0 1.0 0.77
-20.0 -5.0 1.0 0.98
-30.0 5.0 1.0 1.81
35.0 12.0 1.0 0.78
-40.0 0.0 1.0 0.59
-5.0 8.0 1.0 0.53
-40.0 2.0 1.0 0.53
-30.0 0.0 1.0 0.47
10.0 -5.0 1.0 0.50
-45.0 -2.0 1.0 0.85
0.0 2.0 1.0 0.85
-30.0 -8.0 -1.0 0.92
-20.0 12.0 1.0 0.59
-10.0 -12.0 -1.0 0.58
40.0 -8.0 -1.0 0.50
5.0 5.0 1.0 0.97
-20.0 5.0 1.0 0.93
35.0 -12.0 -1.0 0.61
-20.0 -8.0 -1.0 0.58
-15.0 5.0 1.0 0.55
-25.0 0.0 1.0 0.62
35.0 5.0 1.0 0.68
-45.0 5.0 1.0 0.50
25.0 12.0 1.0 0.48
10.0 -8.0 -1.0 0.61
-15.0 -8.0 -1.0 0.80
20.0 -5.0 -1.0 0.46
-45.0 0.0 1.0 0.74
-40.0 -12.0 -1.0 0.54
-10.0 -2.0 1.0 0.52
5.0 -12.0 -1.0 0.47
35.0 8.0 1.0 0.48
-30.0 -5.0 -1.0 0.45
-30.0 8.0 1.0 0.43
5.0 -8.0 -1.0 0.45
25.0 -12.0 -1.0 0.54
35.0 -2.0 -1.0 0.49
5.0 12.0 1.0 0.50
-15.0 -2.0 -1.0 0.46
-45.0 2.0 1.0 0.69
40.0 8.0 1.0 0.52
-40.0 5.0 1.0 0.53
15.0 0.0 -1.0 0.56
20.0 -12.0 -1.0 0.58
-30.0 12.0 1.0 0.76
20.0 -2.0 -1.0 0.55
35.0 0.0 -1.0 0.59
-20.0 -2.0 -1.0 0.65
-35.0 -12.0 -1.0 0.54
10.0 2.0 -1.0 0.51
-15.0 12.0 1.0 0.61
-15.0 0.0 -1.0 1.26
30.0 2.0 -1.0 0.73
10.0 8.0 1.0 0.61
-40.0 -8.0 -1.0 0.67
25.0 8.0 1.0 0.67
-15.0 8.0 1.0 0.50
-30.0 2.0 1.0 0.78
-25.0 -5.0 1.0 0.51
-10.0 5.0 1.0 0.52
35.0 -5.0 -1.0 0.64
35.0 2.0 1.0 1.03
15.0 2.0 1.0 0.77
40.0 -12.0 -1.0 0.68
10.0 0.0 -1.0 0.71
30.0 -5.0 -1.0 0.52
10.0 12.0 1.0 0.53
30.0 -12.0 -1.0 0.52
-25.0 -2.0 1.0 0.74
-30.0 -12.0 -1.0 0.61
15.0 -8.0 -1.0 0.49
-10.0 -8.0 -1.0 0.78
0.0 12.0 1.0 0.55
-45.0 12.0 1.0 0.54
30.0 -8.0 -1.0 0.61
-20.0 -12.0 -1.0 0.53
5.0 -5.0 -1.0 0.57
15.0 5.0 1.0 0.56
40.0 12.0 1.0 0.74
0.0 -2.0 -1.0 0.79
30.0 8.0 1.0 0.68
-35.0 -8.0 -1.0 0.59
-30.0 5.0 1.0 0.76
15.0 -12.0 -1.0 0.48
-35.0 8.0 1.0 0.51
25.0 12.0 1.0 0.47
15.0 -5.0 -1.0 0.46
35.0 2.0 1.0 0.70
-40.0 -12.0 -1.0 0.47
-25.0 -2.0 1.0 0.69
-25.0 2.0 1.0 0.53
-15.0 -2.0 1.0 0.54
20.0 -12.0 -1.0 0.47
-10.0 0.0 1.0 0.48
-20.0 -12.0 -1.0 0.44
25.0 0.0 1.0 0.41
-30.0 -12.0 -1.0 0.48
0.0 2.0 1.0 0.46
-40.0 -2.0 1.0 0.60
-30.0 2.0 1.0 0.52
10.0 5.0 1.0 0.59
